Model,RMSE,MAE,R2,Pearson
Linear Regression,1.1849508298062343,0.8928168923737051,0.819382909849638,0.9052414048395562
Random Forest,1.1935026018833028,0.9097281964998793,0.8167664808590511,0.9038853794532068
XGBoost,1.1339143744476925,0.8645345112896898,0.8346063985727934,0.9137746474197841
